Аномалии:
- bs-15: аномальное количество RRC соединений (среднее 9719, stddev 1025, пик 11274)
- bs-15: аномально высокая загрузка ресурсов (среднее 55.87%, stddev 5.36%), пик 68.44%
- bs-62: аномально высокий drop_rate (среднее 7.69%, stddev 2.13%), пик 15.00%
- bs-62: аномально высокая загрузка ячеек (среднее 59.11%, пик 72.10%)
- bs-62: аномально высокая задержка (среднее 48.87 мс, stddev 11.06 мс), пик 84.49 мс
- bs-62: аномальное количество RRC соединений (среднее 4223, stddev 397, пик 5108)
- bs-62: аномально высокая загрузка ресурсов (среднее 49.95%, stddev 7.45%), пик 71.56%
- bs-73: аномально высокий drop_rate (среднее 7.26%, stddev 2.17%), пик 14.57%
- bs-73: аномально высокая задержка (среднее 49.52 мс, stddev 8.19 мс), пик 74.55 мс
- bs-73: аномально высокая загрузка ресурсов (среднее 40.55%, stddev 5.43%), пик 54.40%
- bs-98: аномально высокая задержка (среднее 60.06 мс, stddev 11.48 мс), пик 91.03 мс
